Date,AI version, Board shape, Initial board, Move History, Winner
Tue Jul 11 2017 11:10:41 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042154025124065141053164023115063113022175003116040176045135046111007136052161032117005156070151026171037112010114057104066131062100030167002106072155021147027150060120073174077101,0
Tue Jul 11 2017 11:10:41 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132025155023135041112036122045131030163013150065121052156014124003120046154057147040115026137011162010166067177072151006102060171073175061105027100001164042117070107076174004016,0
Tue Jul 11 2017 11:10:41 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042154065122023152055145053112051141024161046166021113032114060120035175062150076172001137077126003102047156070100057164071173031130005115006116063125027167017107074140004136010111,0
Tue Jul 11 2017 11:10:41 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125024145052114055154016115065122046175056157023142011163047136051112037132053150074173064166031126004106077103062141040120027176007110000172002113030121061117005170001160071067,0
Tue Jul 11 2017 11:10:41 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152035132061145031124053136022141046130025163027112014126040156062171067150037115021166013102072123020111017173047151005110000164074101054106060157003155065116070107104176075177,1
Tue Jul 11 2017 11:10:42 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145052114035125054142032122016131023163041136004121026151056107020105064103050174055153072127013111073160046147015166070161037171030106001140076175017157067110062112065177000102,1
Tue Jul 11 2017 11:10:42 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125024145055165053123036122016142013112011115041151032101046150005157026102066164052106030100014162075131027107020140047104060137017173072163054161021167056171003110074170076177,1
Tue Jul 11 2017 11:10:42 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123052115032142041153062151014154022130006104025136060111065172035155003113056126073163031161012121016105070157001117046120047174010171050137040107045100002166064175076067177027,0
Tue Jul 11 2017 11:10:42 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132022154055152053156062161051131024145067114063157004112011135025171065113002126046160027116005123030175047101076141036173070100021120066115010117037177074172040106007150064103,1
Tue Jul 11 2017 11:10:42 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024125053114015132004105036123006163022145054113072164042131002147026155074173046175003171021127056135062165037112076152070117030110016107061101057141051160020167000140066111050177,0
