Date,AI version, Board shape, Initial board, Move History, Winner
Tue Jul 11 2017 15:49:50 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132021155045135022111012153000131066102024123062120041165001114013140036164003127052171025104005167075163030110057177050115072173016160070147074151037117046161006126056154076007,0
Tue Jul 11 2017 15:49:50 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145054123042164013141055114053132036103021152073131040165051156057161012146074125037101060111071163016175030172005147076120026150067122027106010117004135000115007166062177002170,0
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024125042123015132026151013106045137021155041122031146056135012111005166014101050152061116054162057104003102053140010160020147076164075100071136017174065170027163073130167072107077,1
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152024125053132026116022123007135061111012141021170000131020155013162015117072101060106063164051102037171050173040127066104065130010167075146036147057154045176003174077114005156,1
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145052122032142053162061114035123031160064140005113070115020125072130003154055106007175021112010166001163056136027102016151074111076141071177050157065146037117004100073126067147,0
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125024145056132015106023155031113054130036152002164005146074126021104012167047122003157007153040175061173014120077151063162072150011171066142060170065127016101010141000176137017,T
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132021152062155045161054131041150023165022111075114070176030174013135015172000101046151036137024173010163064102025103027117056153004105016112007167057166020126040106077060171047,0
Tue Jul 11 2017 15:49:51 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123022125053152042154061132055114035163073145031151013165036147076130046156016175057111040177021115001164050170037112071126020100027110062160003166005102074104067141072117006107,1
Tue Jul 11 2017 15:49:52 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125024123013136042114037112003154021102065151045164074155032122056105004167011153062116015106007176057101000127040175077126041110073150060147066161052171070163030131046117020172,0
Tue Jul 11 2017 15:49:52 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132024154053114021131020141055162004110071166022135056115076164036177074165046112000123050126037113002111075145067125001106016147057103005130063173051140060161052117007170027172,0
Tue Jul 11 2017 15:49:52 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152053132021154025116065131063176023110007124055112035146075115014105030117011122003173004166045140036156051100064126013141062120067174047172001150027157071161006137070102060177,1
Tue Jul 11 2017 15:49:52 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123022125024113052161026116006154070131064153012107032121020175040136002130062114041101042151017127074146004103000115076155066156057145047111060177063165037150010171072167105173,1
Tue Jul 11 2017 15:49:52 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123052153012126054162032131021161024113070160072145063141017164025116075174015127050142030104014122056155071167003110020101073102057136077165037146047105006107066140051176000011,0
Tue Jul 11 2017 15:49:53 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152024145051114025142003116036126023122054155007135031137047163056157021167073112046111066104001141013176005150017127032110064174062165077102060140020100075115030172006161070171,0
Tue Jul 11 2017 15:49:53 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145055146054124014153052165076122057136026127025147056174075151063142067103060132004162073105023166041161011113002112077115021172031130006164037150071120001140017116010100007170,0
Tue Jul 11 2017 15:49:53 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042154025132053141035116064175021136037155015126006110074122045165046117063156047127023157076124014107011105004152013100051160020173067131002101062161070171072177066103040130050112,1
Tue Jul 11 2017 15:49:53 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123012145054101036156024127037147055115042146025114013153016131064122040132041163011121010105067165026130066102062176052174004100061151072120075170057171073150077103060007117006,0
Tue Jul 11 2017 15:49:53 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152024154061135036126063151055137065123022132025173072111042166012113074141077171031114004102040120030121060162001156050103047175064100016105045107027146017157010170006115076167,1
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152051123022163035161062172012113003150070142041160073174064132021114024125071155045140036115066165030177016111026146054117047131075176005137067106007157002104056101000127020110,0
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152024123032122053115051160011112001155035114031145056141066130020102021136006165003177050164062146025171070161013105004110075116073126037157063127067154072147017174040176000107,0
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152024154064175042132061114051122045160025162065146063176031136004174073120056172026115070127041140047167016171050107030106066113077121057137017035155010123012111002100001105103,0
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145054125035165046114023113032136053156004105006141031130022121050102037151067147052142026117020163027160070115055110072161012173074157011164075116071177003140007101066176062000,0
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145053123035125046154012147055165066132014104056177016126015157075113002103052164005142017161063122076174072106051127037150021120070101073162031171067140041107011130060100036010,1
Tue Jul 11 2017 15:49:54 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145055165052122054153011123056121032114031164046163074157062141047161067101051176030173072137035126000150025115020142027113075166006116071110003112007117077136004170060105040102,0
Tue Jul 11 2017 15:49:55 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123052136025115032141016145026117021131024111022137056155050114012154001161042110072103062167002140053113065160047157007171066173051176075164074106005120070163077100030104027146,0
Tue Jul 11 2017 15:49:55 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152042132022124062161023131025112021163071151070145073164060114020110013130005116040115055172003174036154041150056135065146002101075111006104026157037166000127017176047107067177,0
Tue Jul 11 2017 15:49:55 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145055146054123022136025114015163057105053142024112041132006107026165004152011147051100062103002130050140013160075173071164027161020156031121016117067172070110074137001176077166,0
Tue Jul 11 2017 15:49:55 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152024123061155045156022154025111065151057164053146063135021175074167037166036113076147003120031173062116000102072140077141001160004126012170027171032114007115006110005130050117,0
Tue Jul 11 2017 15:49:55 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123052125022142013145055103014121036162051116035147053154032161015166037106072150065127067156046173060104071126005175074177076163002141010157007164040112001170017120031111000130,1
